date,CPI_総合,CPI_生鮮食品除く,CPI_食料エネルギー除く,GDP_デフレータ,CGPI_国内,CGPI_輸出,CGPI_輸入,CSPI
1990-01-01,105.28145589636746,105.14177007116668,102.96651572177981,103.25234271576672,105.46991203317846,97.45582471523781,104.76817808063797,105.97022391210926
1990-02-01,105.26376447702415,105.22851011871144,102.96722302014776,103.26225087950934,104.7738553993601,97.63748301289709,105.1607713827617,105.90576193739871
1990-03-01,105.34088480510407,105.3620065922692,103.00105583051644,103.13670536915357,105.52068813310609,97.91020389579388,105.66692272286964,105.91190038489245
1990-04-01,105.33907796452351,105.2598228174878,102.96775510618068,103.26725949924398,105.00571310589888,98.36472682186589,105.20122276557484,105.83259750852659
1990-05-01,105.37159618489078,105.30377445528671,102.92889802402382,103.25319013780366,105.54695644404958,97.86666702878131,105.07894946595304,105.9277667578532
1990-06-01,105.38693613447126,105.34885263800943,103.01618282841092,103.08332608391997,105.25287350192956,97.87521914146492,105.44859647434563,105.91349299449035
1990-07-01,105.39200495518206,105.35764279723875,102.94608840978402,103.28743876388296,105.07404770350173,97.59399581664574,104.28965193628068,105.93368319134566
1990-08-01,105.43757862146998,105.42440386842178,103.09282015823125,103.02678827426777,105.13819257087445,98.05835340612208,104.96711710056871,105.87104534081386
1990-09-01,105.38987485310605,105.25218536920218,102.92778162717637,103.34120940875604,105.32918167769785,98.0289175637024,105.10515414450592,105.9585326994342
1990-10-01,105.28703749440676,105.17111757264918,102.93799562860244,103.12153279238973,105.08667786894348,97.98620346335176,105.5905172983514,105.93904736454674
1990-11-01,105.26665096026878,105.23739652886898,103.0688143068861,103.3626429279841,105.34870838533843,97.79744683239142,104.47418457111606,105.90637237325302
1990-12-01,105.34398144852295,105.36905556578944,103.00838511072126,103.19848616932083,105.23313030751788,97.83539357422285,105.34429162819382,105.95784961024226
1991-01-01,104.97563016520203,104.8697587337535,102.63569261944644,102.93935307399087,104.93009516251499,97.84813601963282,104.52585373768855,105.60463274401641
1991-02-01,105.15546727447878,104.93716463545253,102.75521264528389,102.87968044036656,105.0534167908007,97.21174159178898,104.89676908242006,105.60949604196746
1991-03-01,105.02290807458692,104.98718036333328,102.6938267465258,103.02746426556,105.01352308673337,97.52275535523327,105.10165551644018,105.63396810294769
1991-04-01,104.87963301320514,104.9615053747266,102.73641911103945,102.69853219380467,104.87144831675606,97.69946048482426,104.54947477477691,105.65090166215256
1991-05-01,104.95340813206457,104.88469889141933,102.59859764992834,102.87844989634615,104.6658084036063,97.55972029677702,105.24235473673824,105.64162386486996
1991-06-01,105.01409787188993,104.92942828503635,102.64571046256566,102.80306791845936,104.86460667943263,97.32806005344653,104.44391033703242,105.73015163766746
1991-07-01,105.01935632807655,105.06221247888507,102.56341747512745,102.84048574087281,104.95481245609655,97.57580297955654,105.41900323569936,105.67177561484871
1991-08-01,104.95771255194772,104.96309098735412,102.784227433238,102.68482643062471,104.84974888733294,97.8023009398466,105.10541148592567,105.67617982561069
1991-09-01,104.86582629277419,104.86334935271285,102.68841239201596,102.87919715980034,104.8944486271854,97.45426502348913,104.85620942420209,105.58833398035283
1991-10-01,105.11138806842023,104.98197640487336,102.78333648659847,102.90335652967381,105.10972764895703,97.32394991316127,105.06862302055625,105.61589362427115
1991-11-01,104.902034507192,104.90455245837967,102.65799798521762,102.90774278927373,105.19410894868035,97.63104169916146,105.13719908119874,105.5419238965976
1991-12-01,105.02235985036098,105.056659401245,102.65126710487773,102.84121273001492,104.88666886786,97.58566162488358,105.17119978863418,105.66229144115033
1992-01-01,104.72365597038853,104.6362273851861,102.3078468412361,102.59040392181014,104.5967832186052,97.29637120263564,104.4157069622053,105.36339624339269
1992-02-01,104.6254976599611,104.57374638459869,102.36057358176672,102.5257891615519,104.64824685631864,97.27671774108843,104.56069936894198,105.43320048014641
1992-03-01,104.55957806402698,104.47865606143306,102.33758133105009,102.74058781728212,104.86284435615678,97.14578683028415,104.52367827048246,105.26449755069098
1992-04-01,104.49356089403203,104.71300723536126,102.3499747972249,102.62363279719551,104.79538388897338,96.87651393820195,104.36421926248147,105.26644691327532
